chr1	1	195471971
chr10	10	130694993
chr11	11	122082543
chr12	12	120129022
chr13	13	120421639
chr14	14	124902244
chr15	15	104043685
chr16	16	98207768
chr17	17	94987271
chr18	18	90702639
chr19	19	61431566
chr2	2	182113224
chr3	3	160039680
chr4	4	156508116
chr5	5	151834684
chr6	6	149736546
chr7	7	145441459
chr8	8	129401213
chr9	9	124595110
chrM	MT	16299
chrX	X	171031299
chrY	Y	91744698
JH584299.1	JH584299.1	953012
GL456233.1	GL456233.1	336933
JH584301.1	JH584301.1	259875
GL456211.1	GL456211.1	241735
GL456350.1	GL456350.1	227966
JH584293.1	JH584293.1	207968
GL456221.1	GL456221.1	206961
JH584297.1	JH584297.1	205776
JH584296.1	JH584296.1	199368
GL456354.1	GL456354.1	195993
JH584294.1	JH584294.1	191905
JH584298.1	JH584298.1	184189
JH584300.1	JH584300.1	182347
GL456219.1	GL456219.1	175968
GL456210.1	GL456210.1	169725
JH584303.1	JH584303.1	158099
JH584302.1	JH584302.1	155838
GL456212.1	GL456212.1	153618
JH584304.1	JH584304.1	114452
GL456379.1	GL456379.1	72385
GL456216.1	GL456216.1	66673
GL456393.1	GL456393.1	55711
GL456366.1	GL456366.1	47073
GL456367.1	GL456367.1	42057
GL456239.1	GL456239.1	40056
GL456213.1	GL456213.1	39340
GL456383.1	GL456383.1	38659
GL456385.1	GL456385.1	35240
GL456360.1	GL456360.1	31704
GL456378.1	GL456378.1	31602
GL456389.1	GL456389.1	28772
GL456372.1	GL456372.1	28664
GL456370.1	GL456370.1	26764
GL456381.1	GL456381.1	25871
GL456387.1	GL456387.1	24685
GL456390.1	GL456390.1	24668
GL456394.1	GL456394.1	24323
GL456392.1	GL456392.1	23629
GL456382.1	GL456382.1	23158
GL456359.1	GL456359.1	22974
GL456396.1	GL456396.1	21240
GL456368.1	GL456368.1	20208
JH584292.1	JH584292.1	14945
JH584295.1	JH584295.1	1976
