chr1	1	195154279
chr10	10	130530862
chr11	11	121973369
chr12	12	120092757
chr13	13	120883175
chr14	14	125139656
chr15	15	104073951
chr16	16	98008968
chr17	17	95294699
chr18	18	90720763
chr19	19	61420004
chr2	2	181755017
chr3	3	159745316
chr4	4	156860686
chr5	5	151758149
chr6	6	149588044
chr7	7	144995196
chr8	8	130127694
chr9	9	124359700
chrM	MT	16299
chrX	X	169476592
chrY	Y	91455967
JH584299.1	JH584299.1	953012
GL456233.2	GL456233.2	559103
JH584301.1	JH584301.1	259875
GL456211.1	GL456211.1	241735
GL456221.1	GL456221.1	206961
JH584297.1	JH584297.1	205776
JH584296.1	JH584296.1	199368
GL456354.1	GL456354.1	195993
JH584298.1	JH584298.1	184189
JH584300.1	JH584300.1	182347
GL456219.1	GL456219.1	175968
GL456210.1	GL456210.1	169725
JH584303.1	JH584303.1	158099
JH584302.1	JH584302.1	155838
GL456212.1	GL456212.1	153618
JH584304.1	JH584304.1	114452
GL456379.1	GL456379.1	72385
GL456366.1	GL456366.1	47073
GL456367.1	GL456367.1	42057
GL456239.1	GL456239.1	40056
GL456383.1	GL456383.1	38659
GL456385.1	GL456385.1	35240
GL456360.1	GL456360.1	31704
GL456378.1	GL456378.1	31602
MU069435.1	MU069435.1	31129
GL456389.1	GL456389.1	28772
GL456372.1	GL456372.1	28664
GL456370.1	GL456370.1	26764
GL456381.1	GL456381.1	25871
GL456387.1	GL456387.1	24685
GL456390.1	GL456390.1	24668
GL456394.1	GL456394.1	24323
GL456392.1	GL456392.1	23629
GL456382.1	GL456382.1	23158
GL456359.1	GL456359.1	22974
GL456396.1	GL456396.1	21240
GL456368.1	GL456368.1	20208
MU069434.1	MU069434.1	8412
JH584295.1	JH584295.1	1976
